"PROJECT_ID","SAMPLE_ID","MATRIX","COLLECT_DATE","LAB_SAMPLE_ID","SAMPLE_TYPE","LOCATION","REC_DATE","RUN_DATE_TIME","ANL_BATCH","PRP_BATCH","EXTRACTION_CODE","EXTRACTED_DATE","ANALYTE","DISSOLVED","CAS_NUMBER","ANALYTE_FLAG","ANALYTICAL_METHOD",RESULT,"RESULTFLAG","TEXT_RESULT",MDL,REPDL,"UNITS",ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERED,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,"ALLOWABLE_LIMIT","ANALYSIS_GROUP",METHOD_ORDER,ANALYTE_ORDER,"ANALYST",LOQ,LOD,DL
"","CCVB for HBN 1769214 (XFC/1383","1","","1416298","CCVB","","09/27/2017 15:03","09/22/2017 13:12","XFC13834","","","","Diesel Range Organics",".","DRO","N","AK102",4960,"=","",,75,"mg/L",1,1,1,,,5000,99.2,75,125,,,,,3,"","Semivolatile Organic Fuels Department",65,1,"JMG",150,75,47
"","CCVB for HBN 1769214 (XFC/1383","1","","1416300","CCVB","","09/27/2017 15:04","09/22/2017 18:30","XFC13834","","","","Diesel Range Organics",".","DRO","N","AK102",5000,"=","",,75,"mg/L",1,1,1,,,5000,100,75,125,,,,,3,"","Semivolatile Organic Fuels Department",65,1,"JMG",150,75,47
"","CCVB for HBN 1769214 (XFC/1383","1","","1416302","CCVB","","09/27/2017 15:04","09/22/2017 21:16","XFC13834","","","","Diesel Range Organics",".","DRO","N","AK102",5140,"=","",,75,"mg/L",1,1,1,,,5000,103,75,125,,,,,3,"","Semivolatile Organic Fuels Department",65,1,"JMG",150,75,47
"","CCVB for HBN 1769214 (XFC/1383","1","","1416304","CCVB","","09/27/2017 15:04","09/23/2017 02:27","XFC13834","","","","Diesel Range Organics",".","DRO","N","AK102",5190,"=","",,75,"mg/L",1,1,1,,,5000,104,75,125,,,,,3,"","Semivolatile Organic Fuels Department",65,1,"JMG",150,75,47
"","IB for HBN 1769214 (XFC/13834)","1","","1416308","IB","","09/27/2017 15:06","09/22/2017 12:31","XFC13834","","","","5a Androstane (surr)",".","5d Androstane","S","AK102",96.7,"=","",,0,"%",1,1,1,,,100,96.7,75,125,,,,,3,"","Semivolatile Organic Fuels Department",65,4,"JMG",0,0,0
"","IB for HBN 1769214 (XFC/13834)","1","","1416308","IB","","09/27/2017 15:06","09/22/2017 12:31","XFC13834","","","","Diesel Range Organics",".","DRO","N","AK102",0,"U","",,75,"mg/L",1,1,1,,,,,,,,,,,3,"","Semivolatile Organic Fuels Department",65,1,"JMG",150,75,45
"","LCS for HBN 1768811 [XXX/38475","1","","1414372","LCS","","09/20/2017 07:29","09/22/2017 14:35","XFC13834","XXX38475","SW3520C","09/20/2017 08:12","5a Androstane (surr)",".","5d Androstane","S","AK102",97.4,"=","",,0,"%",1,250,1,,,0.4,97.4,60,120,,,,,3,"","Semivolatile Organic Fuels Department",65,4,"JMG",0,0,0
"","LCS for HBN 1768811 [XXX/38475","1","","1414372","LCS","","09/20/2017 07:29","09/22/2017 14:35","XFC13834","XXX38475","SW3520C","09/20/2017 08:12","Diesel Range Organics",".","DRO","N","AK102",18.2,"=","",,0.3,"mg/L",1,250,1,,,20,91,75,125,,,,,3,"","Semivolatile Organic Fuels Department",65,1,"JMG",0.6,0.3,0.18
"","LCSD for HBN 1768811 [XXX/3847","1","","1414373","LCSD","","09/20/2017 07:29","09/22/2017 14:56","XFC13834","XXX38475","SW3520C","09/20/2017 08:12","5a Androstane (surr)",".","5d Androstane","S","AK102",98.9,"=","",,0,"%",1,250,1,,,0.4,98.9,60,120,,1.5,,,3,"","Semivolatile Organic Fuels Department",65,3,"JMG",0,0,0
"","LCSD for HBN 1768811 [XXX/3847","1","","1414373","LCSD","","09/20/2017 07:29","09/22/2017 14:56","XFC13834","XXX38475","SW3520C","09/20/2017 08:12","Diesel Range Organics",".","DRO","N","AK102",19.3,"=","",,0.3,"mg/L",1,250,1,,,20,96.3,75,125,,5.6,0,20,3,"","Semivolatile Organic Fuels Department",65,1,"JMG",0.6,0.3,0.18
