"PROJECT_ID","SAMPLE_ID","MATRIX","COLLECT_DATE","LAB_SAMPLE_ID","SAMPLE_TYPE","LOCATION","REC_DATE","RUN_DATE_TIME","ANL_BATCH","PRP_BATCH","EXTRACTION_CODE","EXTRACTED_DATE","ANALYTE","DISSOLVED","CAS_NUMBER","ANALYTE_FLAG","ANALYTICAL_METHOD",RESULT,"RESULTFLAG","TEXT_RESULT",MDL,REPDL,"UNITS",ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERED,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,"ALLOWABLE_LIMIT","ANALYSIS_GROUP",METHOD_ORDER,ANALYTE_ORDER,"ANALYST",LOQ,LOD,DL
"","1177293001 DUP FOR [SPT10343]","2","10/09/2017 10:18","1420054","DUP","","10/12/2017 12:00","10/13/2017 16:00","SPT10343","","","","Total Solids",".","PCT_Solids","N","SM21 2540G",94.8,"=","",,,"%",1,1,1,94.8,,,,,,100.6,0.53,0,15,3,"","Solids",1200,2,"MWJ",,,
"","1177293003 DUP FOR [SPT10343]","2","10/09/2017 10:09","1420055","DUP","","10/12/2017 12:00","10/13/2017 16:00","SPT10343","","","","Total Solids",".","PCT_Solids","N","SM21 2540G",93.2,"=","",,,"%",1,1,1,93.2,,,,,,101.1,1.1,0,15,3,"","Solids",1200,2,"MWJ",,,
"","1177302002 MS FOR [VXX31562]","2","10/10/2017 12:45","1421521","MS","","10/12/2017 14:04","10/19/2017 11:30","VMS17344","VXX31562","SW5035A","10/19/2017 06:00","1,1,1,2-Tetrachloroethane",".","630-20-6","N","SW8260C",1030,"=","",,13.3,"ug/Kg",1,93.124,47.07615330684,76.3,,992,104,78,125,0,,,,3,"","Volatile GC/MS",90,33,"NRO",26.5,13.3,8.22
"","1177302002 MS FOR [VXX31562]","2","10/10/2017 12:45","1421521","MS","","10/12/2017 14:04","10/19/2017 11:30","VMS17344","VXX31562","SW5035A","10/19/2017 06:00","1,1,1-Trichloroethane",".","71-55-6","N","SW8260C",1070,"=","",,16.6,"ug/Kg",1,93.124,47.07615330684,76.3,,992,108,73,130,0,,,,3,"","Volatile GC/MS",90,70,"NRO",33.1,16.6,10.3
"","1177302002 MS FOR [VXX31562]","2","10/10/2017 12:45","1421521","MS","","10/12/2017 14:04","10/19/2017 11:30","VMS17344","VXX31562","SW5035A","10/19/2017 06:00","1,1,2,2-Tetrachloroethane",".","79-34-5","N","SW8260C",1190,"=","",,8.3,"ug/Kg",1,93.124,47.07615330684,76.3,,992,120,70,124,0,,,,3,"","Volatile GC/MS",90,24,"NRO",16.6,8.3,5.17
"","1177302002 MS FOR [VXX31562]","2","10/10/2017 12:45","1421521","MS","","10/12/2017 14:04","10/19/2017 11:30","VMS17344","VXX31562","SW5035A","10/19/2017 06:00","1,1,2-Trichloroethane",".","79-00-5","N","SW8260C",977,"=","",,6.65,"ug/Kg",1,93.124,47.07615330684,76.3,,992,98.4,78,121,0,,,,3,"","Volatile GC/MS",90,86,"NRO",13.3,6.65,4.11
"","1177302002 MS FOR [VXX31562]","2","10/10/2017 12:45","1421521","MS","","10/12/2017 14:04","10/19/2017 11:30","VMS17344","VXX31562","SW5035A","10/19/2017 06:00","1,1-Dichloroethane",".","75-34-3","N","SW8260C",947,"=","",,16.6,"ug/Kg",1,93.124,47.07615330684,76.3,,992,95.5,76,125,0,,,,3,"","Volatile GC/MS",90,71,"NRO",33.1,16.6,10.3
"","1177302002 MS FOR [VXX31562]","2","10/10/2017 12:45","1421521","MS","","10/12/2017 14:04","10/19/2017 11:30","VMS17344","VXX31562","SW5035A","10/19/2017 06:00","1,1-Dichloroethene",".","75-35-4","N","SW8260C",941,"=","",,16.6,"ug/Kg",1,93.124,47.07615330684,76.3,,992,94.9,70,131,0,,,,3,"","Volatile GC/MS",90,51,"NRO",33.1,16.6,10.3
"","1177302002 MS FOR [VXX31562]","2","10/10/2017 12:45","1421521","MS","","10/12/2017 14:04","10/19/2017 11:30","VMS17344","VXX31562","SW5035A","10/19/2017 06:00","1,1-Dichloropropene",".","563-58-6","N","SW8260C",1020,"=","",,16.6,"ug/Kg",1,93.124,47.07615330684,76.3,,992,103,76,125,0,,,,3,"","Volatile GC/MS",90,85,"NRO",33.1,16.6,10.3
"","1177302002 MS FOR [VXX31562]","2","10/10/2017 12:45","1421521","MS","","10/12/2017 14:04","10/19/2017 11:30","VMS17344","VXX31562","SW5035A","10/19/2017 06:00","1,2,3-Trichlorobenzene",".","87-61-6","N","SW8260C",909,"=","",,33.1,"ug/Kg",1,93.124,47.07615330684,76.3,,992,87.8,66,130,37.5,,,,3,"","Volatile GC/MS",90,88,"NRO",66.3,33.1,19.9
