PROJECT_ID,SAMPLE_ID,MATRIX,COLLECT_DATE,LAB_SAMPLE_ID,SAMPLE_TYPE,LOCATION,REC_DATE,RUN_DATE_TIME,ANL_BATCH,PRP_BATCH,EXTRACTION_CODE,EXTRACTED_DATE,ANALYTE,DISSOLVED,CAS_NUMBER,ANALYTE_FLAG,ANALYTICAL_METHOD,RESULT,RESULTFLAG,TEXT_RESULT,MDL,REPDL,UNITS,ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERED,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,ALLOWABLE_LIMIT,ANALYSIS_GROUP,METHOD_ORDER,ANALYTE_ORDER,ANALYST,LOQ,LOD,DL
,1166352011 DUP FOR [SPT10029],2,10/19/2016 20:22,1361092,DUP,,10/21/2016 11:49,10/21/2016 16:47,SPT10029,,,,Total Solids,.,PCT_Solids,N,SM21 2540G,89.3,=,,,,%,1,1,1,89.3,,,,,,100,0.059,0,15,3,,Solids,1200,2,RJA,,,
,1166363003 DUP FOR [SPT10030],2,10/20/2016 14:37,1361387,DUP,,10/21/2016 15:08,10/24/2016 16:53,SPT10030,,,,Total Solids,.,PCT_Solids,N,SM21 2540G,94.8,=,,,,%,1,1,1,94.8,,,,,,99.7,0.32,0,15,3,,Solids,1200,2,IAS,,,
,1166363008MS,2,10/19/2016 15:54,1361713,MS,,10/21/2016 15:08,10/25/2016 16:39,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,"1,2-Dichloroethane",.,107-06-2,N,SW8260B,361,=,,,2.26,ug/Kg,1,118.137,25,93.7,,338,107,73,128,0,,,,3,,Volatile GC/MS,90,7,CRD,4.52,2.26,1.4
,1166363008MS,2,10/19/2016 15:54,1361713,MS,,10/21/2016 15:08,10/25/2016 16:39,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,"1,2-Dichloroethane-D4 (surr)",.,17060-07-0,S,SW8260B,99,=,,,0,%,1,118.137,25,93.7,,338,99,71,136,,,,,3,,Volatile GC/MS,90,62,CRD,0,0,0
,1166363008MS,2,10/19/2016 15:54,1361713,MS,,10/21/2016 15:08,10/25/2016 16:39,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,4-Bromofluorobenzene (surr),.,460-00-4,S,SW8260B,96.7,=,,,0,%,1,118.137,25,93.7,,902,96.7,55,151,,,,,3,,Volatile GC/MS,90,69,CRD,0,0,0
,1166363008MS,2,10/19/2016 15:54,1361713,MS,,10/21/2016 15:08,10/25/2016 16:39,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,Benzene,.,71-43-2,N,SW8260B,344,=,,,2.82,ug/Kg,1,118.137,25,93.7,,338,101,77,121,0,,,,3,,Volatile GC/MS,90,1,CRD,5.64,2.82,1.76
,1166363008MS,2,10/19/2016 15:54,1361713,MS,,10/21/2016 15:08,10/25/2016 16:39,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,Ethylbenzene,.,100-41-4,N,SW8260B,340,=,,,5.65,ug/Kg,1,118.137,25,93.7,,338,100,76,122,0,,,,3,,Volatile GC/MS,90,3,CRD,11.3,5.65,3.52
,1166363008MS,2,10/19/2016 15:54,1361713,MS,,10/21/2016 15:08,10/25/2016 16:39,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,Naphthalene,.,91-20-3,N,SW8260B,272,=,,,11.3,ug/Kg,1,118.137,25,93.7,,338,80.3,62,129,0,,,,3,,Volatile GC/MS,90,57,CRD,22.6,11.3,6.77
,1166363008MS,2,10/19/2016 15:54,1361713,MS,,10/21/2016 15:08,10/25/2016 16:39,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,o-Xylene,.,95-47-6,N,SW8260B,334,=,,,5.65,ug/Kg,1,118.137,25,93.7,,338,98.6,77,123,0,,,,3,,Volatile GC/MS,90,58,CRD,11.3,5.65,3.52
,1166363008MS,2,10/19/2016 15:54,1361713,MS,,10/21/2016 15:08,10/25/2016 16:39,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,P & M -Xylene,.,P & M -Xylene,N,SW8260B,673,=,,,11.3,ug/Kg,1,118.137,25,93.7,,677,99.3,77,124,0,,,,3,,Volatile GC/MS,90,55,CRD,22.6,11.3,6.77
,1166363008MS,2,10/19/2016 15:54,1361713,MS,,10/21/2016 15:08,10/25/2016 16:39,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,Toluene,.,108-88-3,N,SW8260B,540,=,,,5.65,ug/Kg,1,118.137,25,93.7,,338,66.9,77,121,313,,,,3,,Volatile GC/MS,90,2,CRD,11.3,5.65,3.52
,1166363008MS,2,10/19/2016 15:54,1361713,MS,,10/21/2016 15:08,10/25/2016 16:39,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,Toluene-d8 (surr),.,2037-26-5,S,SW8260B,96.1,=,,,0,%,1,118.137,25,93.7,,338,96.1,85,116,,,,,3,,Volatile GC/MS,90,68,CRD,0,0,0
,1166363008MSD,2,10/19/2016 15:54,1361714,MSD,,10/21/2016 15:08,10/25/2016 16:55,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,"1,2-Dichloroethane",.,107-06-2,N,SW8260B,358,=,,,2.26,ug/Kg,1,118.137,25,93.7,,338,106,73,128,0,1,0,20,3,,Volatile GC/MS,90,7,CRD,4.52,2.26,1.4
,1166363008MSD,2,10/19/2016 15:54,1361714,MSD,,10/21/2016 15:08,10/25/2016 16:55,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,"1,2-Dichloroethane-D4 (surr)",.,17060-07-0,S,SW8260B,97.4,=,,,0,%,1,118.137,25,93.7,,338,97.4,71,136,,1.6,,,3,,Volatile GC/MS,90,62,CRD,0,0,0
,1166363008MSD,2,10/19/2016 15:54,1361714,MSD,,10/21/2016 15:08,10/25/2016 16:55,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,4-Bromofluorobenzene (surr),.,460-00-4,S,SW8260B,97.4,=,,,0,%,1,118.137,25,93.7,,902,97.4,55,151,,0.73,,,3,,Volatile GC/MS,90,69,CRD,0,0,0
,1166363008MSD,2,10/19/2016 15:54,1361714,MSD,,10/21/2016 15:08,10/25/2016 16:55,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,Benzene,.,71-43-2,N,SW8260B,339,=,,,2.82,ug/Kg,1,118.137,25,93.7,,338,100,77,121,0,1.3,0,20,3,,Volatile GC/MS,90,1,CRD,5.64,2.82,1.76
,1166363008MSD,2,10/19/2016 15:54,1361714,MSD,,10/21/2016 15:08,10/25/2016 16:55,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,Ethylbenzene,.,100-41-4,N,SW8260B,338,=,,,5.65,ug/Kg,1,118.137,25,93.7,,338,99.9,76,122,0,0.5,0,20,3,,Volatile GC/MS,90,3,CRD,11.3,5.65,3.52
,1166363008MSD,2,10/19/2016 15:54,1361714,MSD,,10/21/2016 15:08,10/25/2016 16:55,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,Naphthalene,.,91-20-3,N,SW8260B,345,=,,,11.3,ug/Kg,1,118.137,25,93.7,,338,102,62,129,0,23.8,0,20,3,,Volatile GC/MS,90,57,CRD,22.6,11.3,6.77
,1166363008MSD,2,10/19/2016 15:54,1361714,MSD,,10/21/2016 15:08,10/25/2016 16:55,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,o-Xylene,.,95-47-6,N,SW8260B,335,=,,,5.65,ug/Kg,1,118.137,25,93.7,,338,98.8,77,123,0,0.2,0,20,3,,Volatile GC/MS,90,58,CRD,11.3,5.65,3.52
,1166363008MSD,2,10/19/2016 15:54,1361714,MSD,,10/21/2016 15:08,10/25/2016 16:55,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,P & M -Xylene,.,P & M -Xylene,N,SW8260B,667,=,,,11.3,ug/Kg,1,118.137,25,93.7,,677,98.5,77,124,0,0.79,0,20,3,,Volatile GC/MS,90,55,CRD,22.6,11.3,6.77
,1166363008MSD,2,10/19/2016 15:54,1361714,MSD,,10/21/2016 15:08,10/25/2016 16:55,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,Toluene,.,108-88-3,N,SW8260B,547,=,,,5.65,ug/Kg,1,118.137,25,93.7,,338,68.8,77,121,313,1.2,0,20,3,,Volatile GC/MS,90,2,CRD,11.3,5.65,3.52
,1166363008MSD,2,10/19/2016 15:54,1361714,MSD,,10/21/2016 15:08,10/25/2016 16:55,VMS16336,VXX29848,SW5035A,10/25/2016 5:00,Toluene-d8 (surr),.,2037-26-5,S,SW8260B,97.4,=,,,0,%,1,118.137,25,93.7,,338,97.4,85,116,,1.4,,,3,,Volatile GC/MS,90,68,CRD,0,0,0
,1166372006 DUP FOR [SPT10030],2,10/20/2016 18:02,1361388,DUP,,10/24/2016 10:14,10/24/2016 16:53,SPT10030,,,,Total Solids,.,PCT_Solids,N,SM21 2540G,37.9,=,,,,%,1,1,1,37.9,,,,,,102.8,2.9,0,15,3,,Solids,1200,2,IAS,,,
,1168773009 DUP FOR [SPT10029],2,10/13/2016 20:00,1361093,DUP,,10/21/2016 10:10,10/21/2016 16:47,SPT10029,,,,Total Solids,.,PCT_Solids,N,SM21 2540G,92,=,,,,%,1,1,1,92,,,,,,100.1,0.14,0,15,3,,Solids,1200,2,RJA,,,
,1361500 MS FOR [MXX30314],7,10/20/2016 17:17,1361501,MS,,10/25/2016 15:24,10/27/2016 10:41,MMS9598,MXX30314,SW3050B,10/26/2016 9:47,Lead,.,7439-92-1,N,SW6020A,45.8,=,,,0.403,mg/Kg,50,1.243,50,,,40.2,102,84,118,4.84,,,,3,,Metals by ICP/MS,15,13,VDL,0.805,0.403,0.249
,1361500 MSD FOR [MXX30314],7,10/20/2016 17:17,1361502,MSD,,10/25/2016 15:24,10/27/2016 10:45,MMS9598,MXX30314,SW3050B,10/26/2016 9:47,Lead,.,7439-92-1,N,SW6020A,50.7,=,,,0.445,mg/Kg,50,1.124,50,,,44.5,103,84,118,4.84,10.1,0,20,3,,Metals by ICP/MS,15,13,VDL,0.89,0.445,0.276
,1363050 MS FOR [VXX29900],7,10/20/2016 17:40,1363054,MS,,11/2/2016 8:48,11/1/2016 19:49,VFC13444,VXX29900,SW5035A,10/31/2016 0:30,"1,4-Difluorobenzene (surr)",.,540-36-3,S,SW8021B,88.5,=,,,0,%,1,116.357,25,,,537,88.5,72,119,,,,,3,,Volatile Fuels Department,40,21,ST,0,0,0
,1363050 MS FOR [VXX29900],7,10/20/2016 17:40,1363054,MS,,11/2/2016 8:48,11/1/2016 19:49,VFC13444,VXX29900,SW5035A,10/31/2016 0:30,Benzene,.,71-43-2,N,SW8021B,533,=,,,2.69,ug/Kg,1,116.357,25,,,537,99.3,75,125,0,,,,3,,Volatile Fuels Department,40,6,ST,5.37,2.69,1.72
,1363050 MS FOR [VXX29900],7,10/20/2016 17:40,1363054,MS,,11/2/2016 8:48,11/1/2016 19:49,VFC13444,VXX29900,SW5035A,10/31/2016 0:30,Ethylbenzene,.,100-41-4,N,SW8021B,536,=,,,5.35,ug/Kg,1,116.357,25,,,537,99.8,75,125,0,,,,3,,Volatile Fuels Department,40,8,ST,10.7,5.35,3.35
,1363050 MS FOR [VXX29900],7,10/20/2016 17:40,1363054,MS,,11/2/2016 8:48,11/1/2016 19:49,VFC13444,VXX29900,SW5035A,10/31/2016 0:30,o-Xylene,.,95-47-6,N,SW8021B,510,=,,,5.35,ug/Kg,1,116.357,25,,,537,94.9,75,125,0,,,,3,,Volatile Fuels Department,40,9,ST,10.7,5.35,3.35
,1363050 MS FOR [VXX29900],7,10/20/2016 17:40,1363054,MS,,11/2/2016 8:48,11/1/2016 19:49,VFC13444,VXX29900,SW5035A,10/31/2016 0:30,P & M -Xylene,.,P & M -Xylene,N,SW8021B,1040,=,,,10.8,ug/Kg,1,116.357,25,,,1070,96.7,80,125,0,,,,3,,Volatile Fuels Department,40,10,ST,21.5,10.8,6.45
,1363050 MS FOR [VXX29900],7,10/20/2016 17:40,1363054,MS,,11/2/2016 8:48,11/1/2016 19:49,VFC13444,VXX29900,SW5035A,10/31/2016 0:30,Toluene,.,108-88-3,N,SW8021B,564,=,,,5.35,ug/Kg,1,116.357,25,,,537,105,70,125,0,,,,3,,Volatile Fuels Department,40,7,ST,10.7,5.35,3.35
,1363050 MSD FOR [VXX29900],7,10/20/2016 17:40,1363055,MSD,,11/2/2016 8:48,11/1/2016 20:07,VFC13444,VXX29900,SW5035A,10/31/2016 0:30,"1,4-Difluorobenzene (surr)",.,540-36-3,S,SW8021B,86.7,=,,,0,%,1,116.357,25,,,537,86.7,72,119,,2.1,,,3,,Volatile Fuels Department,40,21,ST,0,0,0
,1363050 MSD FOR [VXX29900],7,10/20/2016 17:40,1363055,MSD,,11/2/2016 8:48,11/1/2016 20:07,VFC13444,VXX29900,SW5035A,10/31/2016 0:30,Benzene,.,71-43-2,N,SW8021B,519,=,,,2.69,ug/Kg,1,116.357,25,,,537,96.6,75,125,0,2.7,0,20,3,,Volatile Fuels Department,40,6,ST,5.37,2.69,1.72
,1363050 MSD FOR [VXX29900],7,10/20/2016 17:40,1363055,MSD,,11/2/2016 8:48,11/1/2016 20:07,VFC13444,VXX29900,SW5035A,10/31/2016 0:30,Ethylbenzene,.,100-41-4,N,SW8021B,518,=,,,5.35,ug/Kg,1,116.357,25,,,537,96.4,75,125,0,3.5,0,20,3,,Volatile Fuels Department,40,8,ST,10.7,5.35,3.35
,1363050 MSD FOR [VXX29900],7,10/20/2016 17:40,1363055,MSD,,11/2/2016 8:48,11/1/2016 20:07,VFC13444,VXX29900,SW5035A,10/31/2016 0:30,o-Xylene,.,95-47-6,N,SW8021B,480,=,,,5.35,ug/Kg,1,116.357,25,,,537,89.4,75,125,0,6.1,0,20,3,,Volatile Fuels Department,40,9,ST,10.7,5.35,3.35
,1363050 MSD FOR [VXX29900],7,10/20/2016 17:40,1363055,MSD,,11/2/2016 8:48,11/1/2016 20:07,VFC13444,VXX29900,SW5035A,10/31/2016 0:30,P & M -Xylene,.,P & M -Xylene,N,SW8021B,979,=,,,10.8,ug/Kg,1,116.357,25,,,1070,91.1,80,125,0,5.9,0,20,3,,Volatile Fuels Department,40,10,ST,21.5,10.8,6.45
,1363050 MSD FOR [VXX29900],7,10/20/2016 17:40,1363055,MSD,,11/2/2016 8:48,11/1/2016 20:07,VFC13444,VXX29900,SW5035A,10/31/2016 0:30,Toluene,.,108-88-3,N,SW8021B,554,=,,,5.35,ug/Kg,1,116.357,25,,,537,103,70,125,0,1.7,0,20,3,,Volatile Fuels Department,40,7,ST,10.7,5.35,3.35
,CB for HBN 1746998 (MMS/9598),1,,1362048,CB,,10/27/2016 13:33,10/27/2016 10:14,MMS9598,,,,Lead,.,7439-92-1,N,SW6020A,0,U,,,0.0001,mg/L,1,100,100,,,,,,,,,,,3,,Metals by ICP/MS,15,13,VDL,0.0002,0.0001,6.20E-05
,CB for HBN 1746998 (MMS/9598),1,,1362050,CB,,10/27/2016 13:33,10/27/2016 13:07,MMS9598,,,,Lead,.,7439-92-1,N,SW6020A,0,U,,,0.0001,mg/L,1,100,100,,,,,,,,,,,3,,Metals by ICP/MS,15,13,VDL,0.0002,0.0001,6.20E-05
,CB for HBN 1746998 (MMS/9598),1,,1362051,CB,,10/27/2016 13:35,10/27/2016 12:13,MMS9598,,,,Lead,.,7439-92-1,N,SW6020A,0,U,,,0.0001,mg/L,1,100,100,,,,,,,,,,,3,,Metals by ICP/MS,15,13,VDL,0.0002,0.0001,6.20E-05
,CB for HBN 1746998 (MMS/9598),1,,1362052,CB,,10/27/2016 13:41,10/27/2016 11:07,MMS9598,,,,Lead,.,7439-92-1,N,SW6020A,0,U,,,0.0001,mg/L,1,100,100,,,,,,,,,,,3,,Metals by ICP/MS,15,13,VDL,0.0002,0.0001,6.20E-05
,CB for HBN 1746998 (MMS/9598),1,,1362056,CB,,10/27/2016 13:55,10/27/2016 13:43,MMS9598,,,,Lead,.,7439-92-1,N,SW6020A,0,U,,,0.0001,mg/L,1,100,100,,,,,,,,,,,3,,Metals by ICP/MS,15,13,VDL,0.0002,0.0001,6.20E-05
